id_venta,fecha_venta,precio_venta,forma_pago,titulo_entregado,id_cliente,id_empleado,id_vehiculo
1,2021-08-18,9858,CONTADO,0,7,3,96
2,2025-09-18,10306,CONTADO,0,43,6,69
3,2023-02-27,27043,FINANCIADO,1,43,4,42
4,2022-01-19,22144,FINANCIADO,0,35,8,98
5,2024-03-27,21382,FINANCIADO,1,20,4,94
6,2021-04-12,27999,CONTADO,1,70,3,54
7,2020-09-09,8516,CONTADO,0,14,5,93
8,2024-10-06,11819,FINANCIADO,0,35,6,84
9,2018-04-03,37265,FINANCIADO,1,62,8,8
10,2019-05-21,23540,FINANCIADO,0,35,8,57
11,2022-02-28,25576,CONTADO,0,77,5,32
12,2022-06-21,29193,CONTADO,1,43,3,16
13,2017-03-21,36259,FINANCIADO,1,46,5,6
14,2020-07-06,38692,CONTADO,0,16,4,74
15,2024-02-23,37890,FINANCIADO,0,99,5,6
16,2024-09-13,13418,CONTADO,1,28,3,23
17,2016-07-26,36817,CONTADO,0,44,7,71
18,2026-02-17,9374,CONTADO,1,41,8,11
19,2025-07-20,33121,CONTADO,0,62,4,25
20,2023-03-18,10599,FINANCIADO,1,81,5,70
21,2023-08-31,25364,CONTADO,0,22,4,75
22,2025-04-02,11804,FINANCIADO,1,44,3,1
23,2024-06-24,30577,CONTADO,0,94,7,28
24,2025-04-17,17025,FINANCIADO,0,76,6,8
25,2021-07-06,11022,FINANCIADO,0,92,2,55
26,2021-09-01,25073,CONTADO,0,43,8,63
27,2017-10-26,33878,CONTADO,1,69,3,19
28,2022-03-02,39476,FINANCIADO,0,67,1,20
29,2024-03-12,9512,CONTADO,1,63,2,15
30,2020-07-27,16557,CONTADO,1,55,1,89
31,2022-05-14,25761,FINANCIADO,1,7,1,37
32,2018-09-18,27633,CONTADO,1,89,7,15
33,2017-09-03,30640,CONTADO,1,32,5,43
34,2021-07-22,21045,CONTADO,0,89,1,52
35,2025-07-01,22064,FINANCIADO,1,25,1,72
36,2020-08-30,10784,FINANCIADO,1,61,1,10
37,2026-02-02,11307,FINANCIADO,1,49,3,4
38,2024-05-29,17395,CONTADO,0,84,1,8
39,2016-10-02,14708,CONTADO,0,71,8,57
40,2017-03-20,31964,FINANCIADO,1,5,7,56
41,2019-05-08,27834,CONTADO,0,9,6,38
42,2019-06-26,8697,CONTADO,1,35,8,3
43,2025-05-15,9185,FINANCIADO,0,73,4,99
44,2021-02-27,23846,CONTADO,0,88,7,71
45,2019-03-18,39395,FINANCIADO,0,15,3,59
46,2019-02-17,20168,FINANCIADO,0,72,5,75
47,2024-05-22,20299,CONTADO,1,72,3,62
48,2021-09-28,30731,FINANCIADO,1,59,5,96
49,2016-05-06,13281,CONTADO,0,90,3,23
50,2025-04-21,26422,CONTADO,0,91,8,12
