id_vehiculo,matricula,nro_chasis,tipo,marca,modelo,estado
1,WAUAF98E65A121699,3452763277,HATCH,Dodge,Avenger,""
2,1FTNF2B56AE285863,0036390135,SEDAN,Mitsubishi,Pajero,""
3,5N1BA0NE8FN327828,7595957613,SUV,Ford,LTD,""
4,WAUEF78E47A161644,5937050657,SUV,Chrysler,Concorde,""
5,19UUA8F24AA825641,0131017063,SEDAN,Volvo,S70,""
6,3VWAL7AJ2AM914998,7803736912,PICKUP,Nissan,Altima,""
7,KNDPB3A22B7107636,4832428721,SEDAN,Buick,LeSabre,""
8,4A31K2DF5AE812405,6803934225,SEDAN,BMW,M3,""
9,1HGCP2F36CA911245,1014873002,PICKUP,Honda,Accord,""
10,WP1AE2A22DL671493,8909727349,SUV,Suzuki,XL7,""
11,WBAEN33414E990122,9834130309,HATCH,Lamborghini,Gallardo,""
12,1FADP5AU1DL937946,6453884607,SEDAN,Chevrolet,Corvette,""
13,YV4612HM0F1160244,3840627346,SEDAN,Ford,LTD Crown Victoria,""
14,1N6AF0LYXFN280703,0398179867,SUV,Lexus,ES,""
15,WAUKH98E37A709447,8024662221,SUV,Ford,Crown Victoria,""
16,2G4WC582171860651,2301648079,PICKUP,Mitsubishi,Galant,""
17,5TFBY5F19DX264698,5469461327,SUV,Cadillac,CTS,""
18,3VWML7AJ3DM069399,8698375626,HATCH,Mitsubishi,Galant,""
19,2G4WS52J511409412,9685334420,SUV,GMC,Envoy,""
20,1N6AD0CW8EN913301,9576483700,PICKUP,Honda,Passport,""
21,WVWAN7AN1EE819120,3405286921,SEDAN,Mercedes-Benz,CL-Class,""
22,WDDEJ7KB9AA814434,6954216054,PICKUP,GMC,Savana 1500,""
23,JTEBU4BF2EK169482,4614296246,PICKUP,Mercedes-Benz,C-Class,""
24,WAUAVAFD1BN928571,9847587949,SUV,Mitsubishi,Raider,""
25,1FMEU6FE5AU615324,6118154783,SUV,Toyota,T100,""
26,WDDPK4HA3EF790286,4652749902,PICKUP,Toyota,Previa,""
27,4T3BA3BB0DU550497,8961260537,PICKUP,GMC,Sierra 2500,""
28,JN8AZ2KR6BT309186,3125334721,HATCH,Pontiac,Grand Prix,""
29,SAJWA2GZ8E8223534,7710200427,PICKUP,Jeep,Wrangler,""
30,1HGCR2E70DA197161,8845007812,PICKUP,Audi,Quattro,""
31,WBA3C3C56EF956470,1353786161,SEDAN,Chevrolet,Aveo,""
32,JTHBE1BL0FA679096,1523319984,SEDAN,Ford,Explorer,""
33,2C3CDXCT9FH986976,8091788916,SUV,Mazda,B-Series Plus,""
